Product,Number of Occurrences
VPN Routers,1
DGN2200 Devices,1
"NetScaler SD-WAN Enterprise, CloudBridge Virtual WAN, and XenMobile Server",1
Wireless Access Point (WAP) Devices,1
DCS-930L Devices,1
WNR2000v5 Router,1
Ruby on Rails,2
Unified Data Protection (UDP),1
Multiple Archer Devices,1
Elasticsearch,2
Multiple Devices,3
Prime Data Center Network Manager (DCNM),1
Kerberos Key Distribution Center (KDC),1
HTTP File Server (HFS),1
DSL-2760U,1
"ProCurve Manager (PCM), PCM+, Identity Driven Manager (IDM), and Application Lifecycle Management",1
PHP,1
phpMyAdmin,1
OpenView Network Node Manager,1
Chromium V8,1
Debian-specific Redis Servers,1
Confluence Server,1
Secure Remote Access (SRA),1
DirectX Graphics Kernel (DXGKRNL),2
Edge,2
Client-Server Run-time Subsystem (CSRSS),1
Ancillary Function Driver (afd.sys),1
Apex Central,1
Firewall,2
Network Attached Storage (NAS),4
dbutil Driver,1
Gigabit Passive Optical Network (GPON) Routers,2
Spring Framework,1
Sudo,1
HTTP Protocol Stack,1
SMBv1 server,2
Firebox and XTM,1
Active Directory,3
Pixel,1
Checkbox Survey,1
QNAP Network-Attached Storage (NAS),1
User Interface (UI) for ASP.NET AJAX,2
Workspace ONE Access and Identity Manager,1
DNS-320 Storage Device,1
U.motion Builder,1
VTScada (formerly VTS),1
Web Studio,1
AirOS,1
OmniPCX Enterprise,1
Collaboration Suite (ZCS),1
WhatsApp,2
Script Security Plugin,1
OpenSSL,1
Multiple Firewalls,4
Spring Cloud Gateway,1
Update Notification Manager,1
WebKitGTK,1
XML Core Services,2
Ghostscript,1
Internet Explorer and Edge,1
Solaris,1
Flash Player and AIR,2
Silverlight,3
Input Method Editor (IME) Japanese,1
InfoSphere BigInsights,1
Java Runtime Environment (JRE),4
JBoss,2
Confluence Server/Data Center,1
Meeting Owl Pro and Whiteboard Owl,1
Photo Station,4
QTS,1
RV Series Routers,1
"Acrobat and Reader, Flash Player",1
MiVoice Connect,3
Polkit,2
iOS and iPadOS,2
Confluence,1
Collaboration (ZCS),6
UnRAR,1
dotCMS,1
CouchDB,1
APISIX,1
Spring Cloud,1
WebRTC,1
Grafana,1
DOPSoft 2,1
"iOS, macOS, watchOS",1
Archive_Tar,2
DIR-816L,1
DIR-820L,1
FortiOS and FortiADC,1
DIR-300 Router,1
Android OS,1
Apex One and Apex One as a Service,1
ACDB Audio Driver,1
Bitbucket Server and Data Center,1
Windows COM+ Event System Service,1
AnyConnect Secure,2
Mobile Devices,11
Application Delivery Controller (ADC) and Gateway,1
Backup & Replication,3
JasperReports,2
Control Web Panel,1
E-Business Suite,1
Ethernet Diagnostics Driver for Windows,1
TerraMaster OS,1
GoAnywhere MFT,1
Cacti,1
